sample	unit	fq1	fq2
WT_86_Fem	1	results/raw_data/fastq/10_Ps2Ex3M1_WT_6month_07_07_2016_F3_86_Fem_R1.fastq.gz	results/raw_data/fastq/10_Ps2Ex3M1_WT_6month_07_07_2016_F3_86_Fem_R2.fastq.gz
WT_88_Fem	1	results/raw_data/fastq/11_Ps2Ex3M1_WT_6month_07_07_2016_F3_88_Fem_R1.fastq.gz	results/raw_data/fastq/11_Ps2Ex3M1_WT_6month_07_07_2016_F3_88_Fem_R2.fastq.gz
WT_95_Fem	1	results/raw_data/fastq/12_Ps2Ex3M1_WT_6month_07_07_2016_F3_95_Fem_R1.fastq.gz	results/raw_data/fastq/12_Ps2Ex3M1_WT_6month_07_07_2016_F3_95_Fem_R2.fastq.gz
Heter_80_Fem	1	results/raw_data/fastq/1_Ps2Ex3M1_Heter_6month_07_07_2016_F3_80_Fem_R1.fastq.gz	results/raw_data/fastq/1_Ps2Ex3M1_Heter_6month_07_07_2016_F3_80_Fem_R2.fastq.gz
Heter_81_Fem	1	results/raw_data/fastq/2_Ps2Ex3M1_Heter_6month_07_07_2016_F3_81_Fem_R1.fastq.gz	results/raw_data/fastq/2_Ps2Ex3M1_Heter_6month_07_07_2016_F3_81_Fem_R2.fastq.gz
Heter_84_Fem	1	results/raw_data/fastq/3_Ps2Ex3M1_Heter_6month_07_07_2016_F3_84_Fem_R1.fastq.gz	results/raw_data/fastq/3_Ps2Ex3M1_Heter_6month_07_07_2016_F3_84_Fem_R2.fastq.gz
Heter_89_Fem	1	results/raw_data/fastq/4_Ps2Ex3M1_Heter_6month_07_07_2016_F3_89_Fem_R1.fastq.gz	results/raw_data/fastq/4_Ps2Ex3M1_Heter_6month_07_07_2016_F3_89_Fem_R2.fastq.gz
Hom_78_Fem	1	results/raw_data/fastq/5_Ps2Ex3M1_Hom_6month_07_07_2016_F3_78_Fem_R1.fastq.gz	results/raw_data/fastq/5_Ps2Ex3M1_Hom_6month_07_07_2016_F3_78_Fem_R2.fastq.gz
Hom_82_Fem	1	results/raw_data/fastq/6_Ps2Ex3M1_Hom_6month_07_07_2016_F3_82_Fem_R1.fastq.gz	results/raw_data/fastq/6_Ps2Ex3M1_Hom_6month_07_07_2016_F3_82_Fem_R2.fastq.gz
Hom_83_Fem	1	results/raw_data/fastq/7_Ps2Ex3M1_Hom_6month_07_07_2016_F3_83_Fem_R1.fastq.gz	results/raw_data/fastq/7_Ps2Ex3M1_Hom_6month_07_07_2016_F3_83_Fem_R2.fastq.gz
Hom_85_Fem	1	results/raw_data/fastq/8_Ps2Ex3M1_Hom_6month_07_07_2016_F3_85_Fem_R1.fastq.gz	results/raw_data/fastq/8_Ps2Ex3M1_Hom_6month_07_07_2016_F3_85_Fem_R2.fastq.gz
WT_79_Fem	1	results/raw_data/fastq/9_Ps2Ex3M1_WT_6month_07_07_2016_F3_79_Fem_R1.fastq.gz	results/raw_data/fastq/9_Ps2Ex3M1_WT_6month_07_07_2016_F3_79_Fem_R2.fastq.gz
