UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
4	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	2
0	106
5	110
0	10
0	18
200	0
33	116
0	505
555	505
5	1055
429	1085
0	1077
307	0
701	0
0	1
0	1
216	11992
22	12099
5	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	41
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	41
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	30
0	41
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	474
1	474
104	43
0	38
3134	3
69	89
0	89
461	0
100	1181
4	1181
46	173
0	173
1	170
0	42
3	169
48	181
1	68
433	0
4	0
114	0
470	0
1138	290
0	289
11	145
0	145
0	346
1836	291
153	252
584	862
3	65
0	797
0	31
0	15
0	16
218	115
1	23
0	115
5	3933
1049	2509
0	3931
0	2466
0	919
907	1939
0	1939
3	0
0	1
0	1
0	398
62	398
3	996
1	974
81	320
11	251
5283	1
5	0
85	0
199	0
0	5
124	6
0	0
0	0
0	166
0	166
2	65
0	65
1	17
16	0
0	1
0	0
0	0
0	0
4345	0
0	132
0	75
0	132
0	143
73	143
0	2
0	2
0	2
15	24
0	0
222	201
0	201
9	7
279	7
12	128
528	189
0	172
324	49
0	48
0	70
0	68
90	279
0	3
34	3
0	0
503	252
9	217
1156	0
144	0
0	5
0	5
347	0
13	463
0	1606
0	456
0	1636
0	500
4	219
0	278
248	278
0	25
1	101
0	101
0	808
0	801
0	828
259	382
0	953
0	1685
0	1708
0	1708
19	194
2	194
39	1361
1360	1357
39	0
0	97
0	5
1	97
0	11
0	0
1	3
258	307
424	307
1	0
0	0
31	251
22	251
796	0
220	621
107	0
0	72
47	72
5	126
0	67
0	253
751	379
0	184
0	63
1279	247
0	63
33	870
144	870
