UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	82
2	84
0	12
0	21
179	0
12	30
0	284
320	285
0	552
239	567
0	565
234	0
467	0
1	1
0	1
80	8788
3	8800
1	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	19
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	28
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	24
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	24
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	319
0	319
65	34
0	27
1953	10
68	112
0	112
333	0
100	1013
1	1013
31	108
0	108
0	77
0	26
0	75
39	125
0	34
358	0
5	0
78	0
351	0
639	168
0	168
5	103
0	102
0	245
1456	220
135	187
381	573
2	48
0	525
0	7
0	3
0	4
127	61
0	14
0	61
4	2855
720	1784
0	2851
0	1744
1	680
808	1468
0	1468
1	0
0	1
0	1
0	257
36	257
0	539
1	532
62	272
19	221
4234	2
1	0
21	0
88	0
0	1
33	1
0	0
0	0
0	128
1	128
2	64
0	63
0	19
6	0
0	1
0	0
1	0
0	0
2989	0
0	35
0	14
0	35
0	116
43	116
0	2
0	2
0	2
13	13
0	0
154	158
0	158
3	1
83	1
7	53
222	76
1	64
233	22
0	22
0	51
0	56
66	217
0	1
13	1
0	0
221	147
7	122
845	0
143	0
3	2
1	2
236	0
3	243
0	922
0	242
0	928
0	260
3	110
0	215
186	215
0	7
0	27
1	27
0	522
0	531
0	538
162	246
0	502
0	832
0	833
0	833
13	131
3	131
27	816
750	814
16	0
0	53
0	6
2	53
0	10
0	0
2	7
144	221
315	221
0	0
0	0
25	216
12	216
628	0
153	311
63	0
0	65
23	65
3	88
0	32
4	176
458	264
0	329
0	92
2018	421
0	92
24	725
63	725
287	0
22	2886
65	2886
