Geneid	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138292.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180300.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180298.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180295.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138286.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138289.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180296.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180294.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180294.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180297.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138294.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138295.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180299.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138288.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138295.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180293.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180298.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180297.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138291.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138291.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138293.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138286.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138293.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138288.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138287.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138294.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180300.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180293.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180299.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138289.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138287.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138290.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138290.unmappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180296.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2180295.mappedAligned.sortedByCoord.out.bam	/fast/users/a1647910/20200310_rRNADepletion/3_alignedDataStar/bam/SRR2138292.unmappedAligned.sortedByCoord.out.bam
ENSDARG00000102141	0	0	129	52	61	68	22	0	102	0	0	71	0	0	0	53	0	90	76	0	70	0	0	62	53	83	90	0	62	0	0	0	70	0	0	65
ENSDARG00000102123	0	0	107	59	0	1	37	0	92	0	0	5	0	0	0	58	0	84	5	0	1	0	0	1	1	3	54	0	68	0	0	0	4	0	0	4
ENSDARG00000114503	0	0	259	136	3	6	67	0	237	0	0	12	0	0	0	127	0	189	12	0	9	0	0	7	2	8	148	0	141	0	0	0	14	0	0	5
ENSDARG00000115971	0	0	3	1	1	1	0	0	4	0	0	0	0	0	0	3	0	1	2	0	1	0	0	0	1	1	4	0	2	0	0	0	2	0	0	0
ENSDARG00000098311	0	0	90	47	24	34	14	0	83	0	0	23	0	0	0	58	0	47	29	0	27	0	0	32	25	17	55	0	32	0	0	0	28	0	0	17
ENSDARG00000104839	0	0	20	7	0	0	14	0	8	0	0	0	0	0	0	11	0	14	1	0	1	0	0	0	0	1	10	0	22	0	0	0	1	0	0	0
ENSDARG00000100143	0	0	735	301	67	165	141	0	568	0	0	145	0	0	0	366	0	417	234	0	203	0	0	80	70	211	467	0	268	0	0	0	194	0	0	165
ENSDARG00000102474	0	0	554	300	25	49	190	0	512	0	0	40	0	0	0	272	0	374	40	0	54	0	0	19	21	39	346	0	417	0	0	0	43	0	0	45
ENSDARG00000104049	0	0	53	45	52	48	18	0	62	0	0	41	0	0	0	28	0	52	54	0	51	0	0	64	42	59	34	0	57	0	0	0	50	0	0	60
ENSDARG00000102226	0	0	27	9	163	24	19	0	12	0	0	46	0	0	0	17	0	15	53	0	34	0	0	162	180	34	4	0	17	0	0	0	32	0	0	26
ENSDARG00000103095	0	0	156	73	78	50	55	0	144	0	0	51	0	0	0	71	0	133	42	0	52	0	0	58	68	32	74	0	102	0	0	0	40	0	0	45
ENSDARG00000102128	0	0	124	57	254	103	71	0	67	0	0	103	0	0	0	50	0	75	138	0	114	0	0	261	267	96	66	0	97	0	0	0	126	0	0	90
ENSDARG00000110470	0	0	566	243	1	5	134	0	505	0	0	9	0	0	0	242	0	377	5	0	1	0	0	0	0	0	412	0	260	0	0	0	2	0	0	1
ENSDARG00000100422	0	0	1193	546	1	5	276	0	1209	0	0	9	0	0	0	617	0	779	8	0	3	0	0	0	3	8	915	0	440	0	0	0	4	0	0	4
ENSDARG00000104632	0	0	55	36	0	0	51	0	58	0	0	1	0	0	0	44	0	64	2	0	0	0	0	0	0	0	39	0	68	0	0	0	0	0	0	0
ENSDARG00000100660	0	0	80	47	237	137	34	0	77	0	0	159	0	0	0	40	0	62	156	0	159	0	0	206	241	147	43	0	80	0	0	0	165	0	0	116
ENSDARG00000113107	0	0	10	6	43	38	12	0	18	0	0	37	0	0	0	5	0	24	28	0	41	0	0	48	54	38	9	0	20	0	0	0	45	0	0	32
ENSDARG00000099787	0	0	12	3	20	3	4	0	6	0	0	5	0	0	0	1	0	6	1	0	4	0	0	15	21	3	3	0	13	0	0	0	3	0	0	2
ENSDARG00000112451	0	0	78	29	171	50	16	0	77	0	0	46	0	0	0	33	0	62	59	0	30	0	0	135	141	54	42	0	33	0	0	0	51	0	0	43
ENSDARG00000070546	0	0	1147	751	4	175	1287	0	1237	0	0	89	0	0	0	626	0	1209	91	0	96	0	0	7	3	72	685	0	3442	0	0	0	178	0	0	146
ENSDARG00000045914	0	0	2231	1090	2616	2620	1279	0	2177	0	0	2591	0	0	0	1071	0	2564	2985	0	3053	0	0	2657	2331	2827	1481	0	3074	0	0	0	2903	0	0	2879
ENSDARG00000045913	0	0	229	105	265	143	129	0	192	0	0	89	0	0	0	80	0	235	155	0	142	0	0	285	263	86	127	0	329	0	0	0	138	0	0	93
ENSDARG00000045911	0	0	644	289	152	149	90	0	520	0	0	167	0	0	0	307	0	257	175	0	213	0	0	227	123	258	415	0	266	0	0	0	131	0	0	159
ENSDARG00000045910	0	0	248	143	810	354	114	0	223	0	0	414	0	0	0	121	0	249	394	0	390	0	0	632	764	327	152	0	290	0	0	0	401	0	0	330
ENSDARG00000045909	0	0	59	26	1	5	10	0	45	0	0	5	0	0	0	26	0	26	2	0	9	0	0	1	0	4	65	0	20	0	0	0	4	0	0	5
ENSDARG00000025073	0	0	3998	2394	968	1317	4453	0	4414	0	0	1188	0	0	0	2368	0	8748	1342	0	1544	0	0	854	940	1246	2842	0	9836	0	0	0	1364	0	0	1363
ENSDARG00000084828	0	0	114	39	1	13	32	0	83	0	0	15	0	0	0	51	0	47	6	0	8	0	0	0	0	7	57	0	86	0	0	0	16	0	0	3
