UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	19
3	24
0	4
0	6
63	0
5	0
0	12
4	12
1	162
59	164
0	164
57	0
470	8
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	8
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	10
0	10
156	146
0	86
98	3
25	50
0	50
174	0
5	75
0	75
7	21
0	21
0	1
0	0
0	1
105	1379
0	735
246	0
13	0
24	0
503	0
8	13
0	13
1	80
3	80
0	1
10	1
1	1
0	0
0	0
0	0
0	4
0	3
0	3
50	3
0	1
0	3
2	383
21	137
0	381
0	133
0	0
1	1
0	1
1	0
0	0
0	0
0	29
5	29
0	118
0	114
3	6
0	6
651	16
0	0
1	0
17	0
0	1
4	2
0	0
0	0
0	124
0	124
1	112
0	112
0	48
0	0
56	558
0	29
4	365
4	221
4	0
7	449
0	260
6	449
0	113
47	113
0	0
0	0
0	0
1	0
0	276
17	51
0	51
0	5
1	0
2	30
120	41
0	32
789	87
0	85
0	43
0	39
131	52
0	0
0	0
0	0
74	143
6	127
173	0
2585	0
0	0
0	0
10	0
14	275
0	718
0	265
0	720
0	280
2	112
0	13
7	13
0	7
0	34
4	34
0	94
0	95
0	96
10	51
0	145
0	172
0	170
0	170
1	32
0	32
0	6
5	3
1	0
0	3
0	0
0	3
0	0
0	0
0	0
4	20
0	20
6	0
0	0
57	1193
76	1193
34	0
399	0
4	2
0	75
43	75
1	45
0	59
0	154
309	199
0	196
0	132
853	286
0	132
0	50
0	50
566	0
2	712
7	712
0	19
0	18
4	0
0	10
